column_0,name,city,state,address,hours of operation,associated airports,Identifier,contact information.name,contact information.phone,contact information.email,aircraft and equipment rentals.planes,flight training.faa classification,flight training.approved for va training,flight training.services,flight training.DPE inside,flight training.in-house maintenance,flight training.number of aircrafts,flight training.dormitory,flight training.visa for foreign students,training opportunities.certifications,training opportunities.ratings,training opportunities.other advanced training,school_type,city_set,flight_available,fax,flight training.affiliated college/university,aircraft and equipment rentals.equipment,aircraft and equipment rentals.simulator,aircraft and equipment rentals.rotorcraft,club listing last verified
276,ATP Flight School,Livermore,CA,"Livermore Flight School 708 Terminal Circle Livermore , CA 94551",By Appointment,Livermore Municipal Airport,KLVK,,,,Multi Engine; Single Engine,Part 61,No,Computerized Testing; Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Flight Instructor Sport CFIS; Multi Engine Instructor MEI,Instrument; Multi-Engine,Turbine,Flight school,Town,257,,,,Advanced Aviation Training Device (AATD),,
286,"Red Sky Aviation, LLC",Livermore,CA,"333 West Jack London Blvd Hangar 135 Livermore , CA 94551","Mon - Sun, 9:00 AM to 5:00 PM",Livermore Municipal Airport,KLVK,Robert Haley,(925) 294-9703,info@redskyaviation.com,Aerobatic; Light Sport; Single Engine; Tailwheel,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Multi-Engine,Aerobatic; Emergency Maneuvers; Mountain Flying; Tailwheel; Upset Recovery,Flight school,Town,257,,,,,,
1062,Aloft Aviation,Lakeville,MN,"22100 Hamburg Ave Lakeville , MN 55044","Mon - Fri, 8:00 AM to 7:00 PM",Airlake Airport,KLVN,Adam Forsberg,(952) 469-4414,AloftAviationInfo@gmail.com,Multi Engine; Single Engine,Part 61,No,Annual Recurrent Training; Biennial Flight Review; Ground School; Instrument Proficiency Check; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument; Multi-Engine,,Flight school,Town,198,,,,,,
1996,Eagles Wings Flight Training,Clintonville,WV,"Greenbrier Valley Airport 1458 Henson Road Clintonville , WV 24931",By Appointment,Greenbrier Valley Airport,KLWB,David Hersman,(304) 661-2534,david@eagleswings.net,Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot; Recreational Pilot; Sport Pilot,Instrument,Mountain Flying; Tailwheel,Flight school,Small Town,215,,,,,,
850,"Hetrick Air Services, Inc.",Lawrence,KS,"Lawrence Municipal Airport 1930 Airport Road Lawrence , KS 66044","Sun - Sat, 8:00 AM to 8:00 PM",Lawrence Municipal Airport,KLWC,Lloyd Hetrick,(785) 842-0000,lloyd@hetrickairservices.com,Light Sport; Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument,,Flight school,Town,211,(785) 749-3348,,,,,
969,ATP Flight School,North Andover,MA,"492 Sutton Street, Office 201 North Andover , MA 01845",By Appointment,Lawrence Municipal Airport,KLWC,,,,Multi Engine; Single Engine,Part 61,No,Computerized Testing; Examiner; Ground School; Intro Flight; Simulator,Yes,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI,Instrument; Multi-Engine,G1000; Turbine; Upset Recovery,Flight school,Small Town,201,,,,Advanced Aviation Training Device (AATD); Flight Training Device (FTD),,
977,"Eagle East Aviation, Inc",North Andover,MA,"Lawrence Municipal Airport 492 Sutton St North Andover , MA 01845","Mon - Sun, 8:00 AM to 7:00 PM",Lawrence Municipal Airport,KLWC,Tim Campbell,(508) 783-4847,fly@eagleeastaviation.com,Single Engine; Tailwheel,Part 61,No,Biennial Flight Review; Ground School; Instrument Proficiency Check; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument,,Flight school,Small Town,201,(978) 975-3499,,,,,
1031,Lakes Area Aviation,Little Falls,MN,"P.O. Box 286 13129 Airport Road Little Falls , MN 56345",Part 61,Little Falls-Morrison County-Lindbergh field,KLXL,,,,,Part 61,No,Ground School,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot,Instrument; Multi-Engine,Complex; High Performance; Tailwheel,Flight school,Small Town,199,,,,,,
1106,Midwest Pilot Training,Lee's Summit,MO,"2525 NE Douglas Lee's Summit , MO 64064","Mon - Sun, 7:00 AM to 5:00 PM",Lee's Summit Municipal Airport,KLXT,Jim Dockins,(816) 889-8906,jdockinscfi@gmail.com,,Part 61,No,Intro Flight,N/A,N/A,N/A,N/A,No,Private Pilot,,,Flight school,Town,219,,,,,,
1110,Summit Flight Academy,Lee's Summitt,MO,"2151 NE Douglas Street Lee's Summitt , MO 64064","From 1/1 to 12/31: Mon - Fri, 8:00 AM to 5:00 PM",Lee's Summit Municipal Airport,KLXT,Jeremy Davis,(816) 885-5703,Jeremy@summit-flight.com,,Part 61,No,Annual Recurrent Training; Biennial Flight Review,N/A,N/A,N/A,N/A,No,Commercial; Private Pilot; Sport Pilot,,,Flight school,Town,219,,,,,,
1902,"Freedom Aviation, Inc",Lynchburg,VA,"Lynchburg Regional Airport 310 Hangar Road Lynchburg , VA 24502","Mon - Sun, 6:00 AM to 10:00 PM",Lynchburg Regional Airport - Preston Glenn Field,KLYH,Shelli Oliver,(434) 660-2463,soliver@flyfreedomaviation.com,Multi Engine; Single Engine,Part 61,No,Annual Recurrent Training; Biennial Flight Review; Examiner; Ground School; Instrument Proficiency Check; Intro Flight,Yes,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot,Instrument; Multi-Engine,Complex; Glass Cockpit Transition; High Performance; Mountain Flying,Flight school,Town,218,(434) 237-5305,No,,Advanced Aviation Training Device (AATD),,
597,"Advanced Aviation, Inc.",Lawrenceville,GA,"Gwinnett County Airport-Briscoe Field 470 Briscoe Blvd. Lawrenceville , GA 30046","Sun - Sat, 9:00 AM to 5:00 PM",Gwinnett County Briscoe Field,KLZU,,,,Multi Engine; Single Engine,Part 61,No,Computerized Testing; Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Flight Instructor Sport CFIS; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Multi-Engine,,Flight school,Small Town,215,(770) 682-7205,,,,,
606,ATP Flight School,Lawrenceville,GA,"Atlanta Flight School 738 Briscoe Blvd Lawrenceville , GA 30046",By Appointment,Gwinnett County Briscoe Field,KLZU,,,,Multi Engine; Single Engine,Part 61,No,Computerized Testing; Examiner; Ground School; Intro Flight; Simulator,Yes,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI,Instrument; Multi-Engine,,Flight school,Small Town,215,,No,,Advanced Aviation Training Device (AATD),,
642,"Flight School of Gwinnett, Inc.",Lawrenceville,GA,"Gwinnett County Airport-Briscoe Field 800 Airport Road, Suite 101 Lawrenceville , GA 30045","Mon - Sun, 8:00 AM to 5:00 PM",Gwinnett County Briscoe Field,KLZU,,,,Aerobatic; Multi Engine; Single Engine; Tailwheel,Part 141; Part 61,Yes,Computerized Testing; Ground School; Intro Flight; Simulator,N/A,Yes,N/A,N/A,M1,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Multi-Engine,Aerobatic; Tailwheel,Flight school,Small Town,215,(770) 513-3753,,,,,
1660,Downtown Aviation,Memphis,TN,"General Dewitt Spain Airport 2787 North Second Street Memphis , TN 38127","Sun - Sat, 8:00 AM to 5:00 PM",General Dewitt Spain Airport,KM01,,,,Aerobatic; Multi Engine; Single Engine; Tailwheel,Part 141; Part 61,No,Computerized Testing; Ground School,N/A,N/A,15,N/A,M1,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Sport Pilot,Instrument; Multi-Engine,Aerobatic; Emergency Maneuvers; Tailwheel; Upset Recovery,Flight school,Large City,218,(901) 353-9187,Liberty University,,,,
1676,Helicopters Incorporated,Memphis,TN,"993 River Currents Dr Memphis , TN 38203","Mon - Fri, 9:00 AM to 5:00 PM",General Dewitt Spain Airport,KM01,,,,,Part 61,No,Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Private Pilot,Rotary Wing,,Flight school; Helicopter school,Large City,218,(901) 531-8284,,,,,
1069,Cool Breeze Aviation,Kiln,MS,"7250 Stennis Airport Road Kiln , MS 39556",By Appointment,Poplarville Pearl River County Airport,KM13,Desiree Strong,(228) 343-6936,desiree@cbaflightschool.com,Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Private Pilot,Instrument,,Flight school,Small Town,217,,,,,,
2083,Hinds Community College,Bolton,MS,"4130 Airport Road, Bolton, Mississippi, 39041 United States",,John Bell Williams Airport,KM16,,,,,,Yes,Aicraft Maintenance Training; Commercial Pilot Certificate,N/A,Yes,N/A,Yes,F1,Aviation College Degrees and Certifications,,,Aviation college,Small Town,211,,,,,,
1086,Service Oriented Aviation Readiness (S.O.A.R.),Bolivar,MO,"4460 Airport Road Bolivar , MO 65613",123,Bolivar Municipal Airport,KM17,S.O.A.R.,(417) 777-6800,office@soar-m17.org,Single Engine; Tailwheel,Part 61,No,Computerized Testing; Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument,Tailwheel,Flight school,Small Town,214,,,,,,
1653,Flywithben.com,Gallatin,TN,"1475 Airport Rd Gallatin , TN 37066","Mon - Fri, 9:00 AM to 5:00 PM",Music City Executive Airport,KM33,Ben Lehman,N/A,ben@flywithben.com,,Part 61,No,,N/A,N/A,N/A,N/A,No,,,Tailwheel,Flight school,Small Town,209,,,,,,
1646,Highland Rim Aviation,Springfield,TN,"4430 Airport Road Springfield , TN 37172","Mon - Sat, 8:00 AM to 5:00 PM",Springfield Robertson County Airport,KM91,Thomas Jones,N/A,N/A,Multi Engine; Single Engine,Part 61,No,Annual Recurrent Training; Biennial Flight Review; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument; Multi-Engine,Complex; Helicopter to Fixed-Wing Transition; High Performance,Flight school; Helicopter school,Small Town,205,,,,,,
619,Middle Georgia State University,Macon,GA,"2725 Herbert Smart Airport Road Macon , GA 31217",By Appointment,Macon Downtown Airport,KMAC,Adon Clark,(478) 374-6980,adon.clark@mgc.edu,,Part 61,No,,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument; Multi-Engine; Rotary Wing,Drone,Flight school,Small City,219,(478) 374-6809,,,,,
249,Fresno Flight Training Inc.,Madera,CA,"2801 Airport Drive Suite 101 Madera , CA 93637","Mon - Sun, 8:00 AM to 5:00 PM",Madera Municipal Airport,KMAE,Marty Bevill,(559) 797-7917,martybevill@hotmail.com,Aerobatic; Multi Engine; Single Engine; Tailwheel,Part 61,No,Biennial Flight Review; Ground School; Instrument Proficiency Check; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Multi-Engine,Aerial Photography; Aerobatic; Cirrus; Complex; Emergency Maneuvers; High Performance; Spin Training; Tailwheel,Flight school,Town,264,,,,,,
1080,Madison Flyers,Madison,MS,"Bruce Campbell Field 7504-B Old Canton Road Madison , MS 39110",None reported,Bruce Campbell Field,KMBO,George Cricenti,(601) 605-1698,letsfly@madisonflyers.com,Single Engine,Part 61,No,Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot,Instrument; Multi-Engine,,Flight school,Small Town,216,(601) 605-4073,,,Procedures Trainer,,
1657,Murfreesboro Aviation,Murfreesboro,TN,"Murfreesboro Municipal Airport 1936 Memorial Boulevard Murfreesboro , TN 37129","Mon - Sun, 8:00 AM to 5:00 PM",City of Murfreesboro Airport,KMBT,Jim Gardner,(615) 494-1900,info@murfreesboroaviation.com,Multi Engine; Single Engine,Part 61,No,Biennial Flight Review; Computerized Testing; Drone/UAS; Examiner; Ground School; Instrument Proficiency Check; Intro Flight; Part 107 Drone Testing; Simulator; Time Building Programs,Yes,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Flight Instructor Sport CFIS; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot,Instrument; Multi-Engine; Rotary Wing,Cirrus; Companion Co-Pilot; Complex; Drone; Emergency Maneuvers; G1000; Glass Cockpit Transition; Helicopter to Fixed-Wing Transition; High Altitude; High Performance; Spin Training; Upset Recovery,Flight school; Helicopter school,Town,210,(615) 217-2010,,,Procedures Trainer,Helicopter,
2154,Middle Tennessee State University,Murfreesboro,TN,"1940 Memorial Blvd, Murfreesboro, Tennessee, 37129 United States",,City of Murfreesboro Airport,KMBT,,,,,,Yes,Aicraft Maintenance Training; Air Traffic Controller Training; Aircraft Dispatcher Training; Privae Pilot Certificate; Commercial Pilot Certificate; Flight Instructor Certificate,N/A,Yes,45,Yes,F1,Aviation College Degrees and Certifications,Instrument; Multi Engine,,Aviation college,Town,210,,,,,,
169,"Flying Panthers Flight School, Inc",Citrus Heights,CA,"Located at McClellan Airfield (KMCC) Mailing Address: 7889 Lichen Drive, Suite 361 Citrus Heights , CA 95621","24 hours a day, 7 days a week",McClellan Airfield,KMCC,Phil Cypret,N/A,phil.cypret@flyingpanthers.org,Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot,Instrument; Multi-Engine,,Flight school,Town,268,,,,,,
419,FlightSafety International,Orlando,FL,"4105 Bear Road Orlando , FL 32827",By Appointment,Orlando International Airport,KMCO,Nancy Ritter,(321) 281-3200,info@flightsafety.com,,Part 142,No,Simulator,N/A,N/A,N/A,N/A,No,,,,Flight school,Small City,303,,,,Full Flight Simulator (FFS),,
501,SIMCOM Aviation Training - Lee Vista,Orlando,FL,"Orlando International Airport 6989 Lee Vista Blvd Orlando , FL 32822","Mon - Fri, 8:00 AM to 5:00 PM",Orlando International Airport,KMCO,,,,,Part 142,No,Annual Recurrent Training; Ground School; Simulator; Time Building Programs,N/A,N/A,N/A,N/A,No,,,Companion Co-Pilot; Complex; Emergency Maneuvers; G1000; Glass Cockpit Transition; High Altitude; High Performance; Turbine,Flight school,Small City,303,(407) 737-9316,,,Full Flight Simulator (FFS),,
530,SIMCOM Aviation Training - Parksouth,Orlando,FL,"9550 Parksouth Ct Suite 100 Orlando , FL 32837","Mon - Fri, 8:00 AM to 5:00 PM",Orlando International Airport,KMCO,,,,,Part 142,No,Annual Recurrent Training; Ground School; Simulator; Time Building Programs,N/A,N/A,N/A,N/A,No,,,Companion Co-Pilot; Complex; Emergency Maneuvers; G1000; Glass Cockpit Transition; High Altitude; High Performance; Turbine,Flight school,Small City,303,(407) 859-7359,,,Full Flight Simulator (FFS),,
821,North Iowa Air Service,Clear Lake,IA,"9184 265th Street Suite 10 Clear Lake , IA 50428","Sun - Sat, 7:00 AM to 7:00 PM",Mason City Municipal Airport,KMCW,Christopher Schrodt,N/A,christopher@northiowaair.com,Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument,Tailwheel,Flight school,Small Town,190,(641) 357-0542,,,,,
1742,Floris Flight Services,Midland,TX,"901 Veterans Airpark Ln Hangar 3 Midland , TX 79705","Mon - Sun, 7:00 AM to 11:00 PM",Midland Airpark,KMDD,Floris Oldenbroek,N/A,N/A,Multi Engine; Single Engine,,N/A,,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument; Multi-Engine,,Flight school,Town,266,,,,,,
699,Flightline,Murphysboro,IL,"Hangar 1 634 North Airport Road Murphysboro , IL 62966","Sun - Sat, 7:00 AM to 7:00 PM",Southern Illinois Airport,KMDH,Max Reh,(618) 529-3377,max.reh@flightline1.com,Multi Engine; Single Engine,Part 61,No,Biennial Flight Review; Instrument Proficiency Check; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Multi-Engine,Aerial Photography; Complex; High Performance; Spin Training,Flight school,Small Town,212,(618) 529-4549,,,,,
732,Code 1 Aviation,Rockford,IL,"1601 Grumman Dr Rockford , IL 61109","Mon - Fri, 8:00 AM to 5:00 PM",Southern Illinois Airport,KMDH,Nathan Jones,(815) 315-9715,info@code1aviation.com,,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,,,Aerobatic; Emergency Maneuvers; Turbine,Flight school,Small City,188,,,,,,
2155,Southern Illinois University Carbondale,Murphysboro,IL,"545 N Airport Road, Murphysboro, Illinois, 62966 United States",,Southern Illinois Airport,KMDH,,,,,,Yes,Aicraft Maintenance Training; Privae Pilot Certificate; Commercial Pilot Certificate; Flight Instructor Certificate; Flight Instructor Instrument Certificate; Flight Instructor Multi Engine Certificate,Yes,Yes,38,Yes,F1,Aviation College Degrees and Certifications,Instrument; Multi Engine,,Aviation college,Small Town,212,,,,,,
1564,Susquehanna Flyers,Harrisburg,PA,"517 Airport Drive Harrisburg , PA 17057","24 hours a day, 7 days a week",Harrisburg International Airport,KMDT,Jay Nolt,(717) 368-2079,noltjay@ymail.com,,Part 61,No,Biennial Flight Review; Instrument Proficiency Check,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot,Instrument,,Flight school,Small Town,193,,,,,,
717,Aeronautics Academy,Chicago,IL,"6150 S Laramie Ave Chicago , IL 60638","Sun - Sat, 10:00 AM to 10:00 PM",Chicago Midway International Airport,KMDW,Contact us,N/A,info@aeroaviationacademy.com,,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument; Rotary Wing,,Flight school,Metropolis,189,,,,,,
720,Aviation Professionals Incorporated,Chicago,IL,"Chicago Midway Airport 6321 S Central Avenue Chicago , IL 60638","Sun - Sat, 8:00 AM to 8:00 PM",Chicago Midway International Airport,KMDW,Contact Us,N/A,api@apischool.com,,Part 61,No,Computerized Testing; Examiner; Ground School; Intro Flight; Part 107 Drone Testing; Simulator,Yes,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument,,Flight school,Metropolis,189,(773) 284-5687,,,,,
248,Sierra Academy of Aeronautics,Atwater,CA,"2305 Jetlift Dr Atwater , CA 95301","Mon - Sun, 9:00 AM to 5:00 PM",Castle Airport,KMER,John Yoon,(209) 722-7522,ceo@sierraacademy.com,Multi Engine; Single Engine,Part 141; Part 61,No,Ground School; Simulator,N/A,Yes,44,Yes,M1,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot,Instrument; Multi-Engine,Complex; High Performance; Tailwheel; Turbine,Flight school,Small Town,267,(209) 555-5555,,,Advanced Aviation Training Device (AATD); Basic Aviation Training Device (BATD); Flight Training Device (FTD); Full Flight Simulator (FFS),,
1155,Sky Combat Ace,Minden,NV,"Minden-Tahoe Airport 1150 Airport Rd Minden , NV 89423",By Appointment,Minden-Tahoe Airport,KMEV,,,,,Part 61,No,Intro Flight,N/A,N/A,N/A,N/A,No,,,Aerobatic; Emergency Maneuvers; Tailwheel; Upset Recovery,Flight school,Small Town,251,,,,,,
1156,SoaringNV,Minden,NV,"1142 Airport Rd Minden , NV 89423",Pilot Supplies,Minden-Tahoe Airport,KMEV,,,,Glider,Part 61,No,Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,,Glider,Aerobatic,Flight school,Small Town,251,,,,Procedures Trainer,,
1162,High Sierra Pilots,Minden,NV,"1138 Airport Road Suite #2 Minden , NV 89423","Mon - Sat, 8:00 AM to 5:00 PM",Minden-Tahoe Airport,KMEV,Bryan Stewart,N/A,bryan@highsierrapilots.club,Glider; Multi Engine; Single Engine,Part 61,No,Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot; Sport Pilot,Glider; Instrument,Mountain Flying,Flight school,Small Town,251,,,,Procedures Trainer,,
2010,"Duffys Aircraft Sales & Leasing, Inc.",Marshfield,WI,"Marshfield Municipal Airport 400 West 29th Street Marshfield , WI 54449","Mon - Sat, 8:00 AM to 5:00 PM",Marshfield Municipal Airport,KMFI,Jeff Gaier,(715) 387-2211,jeff@duffysaircraft.com,Light Sport; Single Engine; Tailwheel,Part 61,No,Computerized Testing; Examiner; Ground School; Intro Flight; Simulator,Yes,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot; Recreational Pilot; Sport Pilot,Instrument,Complex; Tailwheel,Flight school,Small Town,187,(715) 384-5251,,,,,
1912,MFV Flying Club,Melfa,VA,"29194 Parkway N Melfa , VA 23410",Flight Instructor AvailableOnline Flight Scheduler,Accomack County Airport,KMFV,,,,,,N/A,,N/A,N/A,N/A,N/A,No,,,,Flight school,Small Town,211,,,,,,44990
1311,"Take Flight Aviation, LLC",Montgomery,NY,"Orange County Airport 49 Hangar Road, Hangar D Montgomery , NY 12549","Mon - Sun, 8:00 AM to 6:00 PM",Orange County Airport,KMGJ,Raymond Wagner,(845) 457-4188,ray@takeflightoc.com,Light Sport; Multi Engine; Single Engine,Part 141; Part 61,No,Annual Recurrent Training; Biennial Flight Review; Examiner; Ground School; Instrument Proficiency Check; Intro Flight; Simulator; Time Building Programs,Yes,Yes,4,N/A,M1,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot; Sport Pilot,Instrument; Multi-Engine,Companion Co-Pilot; Complex; G1000; High Performance,Flight school,Small Town,192,(845) 913-9017,No,,Advanced Aviation Training Device (AATD),,
20,"Box Aviation, Inc",Montgomery,AL,"Montgomery Regional Airport 4651 Hangar Road Montgomery , AL 36108","24 hours a day, 7 days a week",Montgomery Regional (Dannelly Field) Airport,KMGM,Erik Box,(334) 281-9005,mgm@boxaviation.com,Multi Engine; Single Engine; Tailwheel,Part 61,No,Biennial Flight Review; Ground School; Instrument Proficiency Check; Intro Flight; Time Building Programs,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot,Instrument; Multi-Engine,Aerial Photography; Cirrus; Companion Co-Pilot; Complex; Emergency Maneuvers; Formation; High Performance; Upset Recovery,Flight school,Small City,211,(334) 286-0769,,,,,
2211,Tuskegee University College of Engineering,Tuskegee,AL,"Tuskegee University, Tuskegee, Alabama, 36088 United States",,Montgomery Regional (Dannelly Field) Airport,KMGM,,,,,,Yes,,N/A,N/A,N/A,N/A,F1,Aviation College Degrees and Certifications,,,Aviation college,Small Town,218,,,,,,
1997,RSA Flight Training,Morgantown,WV,"Morgantown Muni-Walter L Bill Hart Field 82 Hart Field Road, Suite 105 Morgantown , WV 26505","24 hours a day, 7 days a week",Morgantown Municipal Airport Walter L. (Bill) Hart Field,KMGW,Contact Us,N/A,control@flyrsa.com,Multi Engine; Single Engine,Part 107; Part 61,No,Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument; Multi-Engine,Complex; High Performance; Mountain Flying,Flight school,Small Town,155,,,,,,
1439,Higher Ground Helicopters,Miamisburg,OH,"Dayton-Wright Brothers Airport 10570 Springboro Pike Miamisburg , OH 45342","Mon - Fri, 8:00 AM to 5:00 PM",Dayton-Wright Brothers Airport,KMGY,Contact us,N/A,info@hghelicopters.com,,Part 141; Part 61,Yes,Ground School,N/A,N/A,N/A,N/A,M1,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument; Rotary Wing,,Flight school; Helicopter school,Small Town,174,(513) 217-5243,No,,,,
1630,"Dakota Flight Center, LLC",Mitchell,SD,"5971 Airport Road Mitchell , SD 57301",Part 61,Mitchell Municipal Airport,KMHE,Levi Koerner,(605) 299-4359,levi@dakotaflight.com,,Part 61,No,Biennial Flight Review; Ground School; IFS Certifications; Instrument Proficiency Check; Intro Flight; Time Building Programs,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Flight Instructor Sport CFIS; Private Pilot; Sport Pilot,Instrument,Aerial Photography; Complex; High Performance; Tailwheel,Flight school,Small Town,214,,,,,,
1631,"Wright Brothers Aviation, LTD.",Mitchell,SD,"Mitchell Municipal Airport 5971 Hangar Road Mitchell , SD 57301","Sun - Sat, 9:00 AM to 5:00 PM",Mitchell Municipal Airport,KMHE,Terri Shannon,(605) 996-1228,wba@mitchelltelecom.net,Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Private Pilot,,,Flight school,Small Town,214,(605) 996-4358,,,,,
841,Flex Air,Manhattan,KS,"Manhattan Regional Airport 1725 S Airport Road Manhattan , KS 66503",By Appointment,Manhattan Regional Airport,KMHK,Charles E. Copeland,(785) 320-1218,charlie@goflexair.com,Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Multi-Engine; Rotary Wing,Complex; Helicopter to Fixed-Wing Transition; High Performance,Flight school; Helicopter school,Town,218,,,,,,
844,JO Flying Service,Manhattan,KS,"Manhattan Regional Airport Alpha Row Manhattan , KS 66502","24 hours a day, 7 days a week",Manhattan Regional Airport,KMHK,,,,,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot,Glider; Instrument; Multi-Engine,Emergency Maneuvers; Tailwheel; Upset Recovery,Flight school,Town,218,,,,,,
